tweet_id,safe_text,label,agreement
BAEF6C2G,Buncombe parents are seven times more likely say no to kids’ vaccines for religious reasons <url> via <url>,-1.0,0.3333333333333333
UUMZ7A5W,.<user> all made more poignant by the fact that #measles was no longer endemic in US in 2000. Such a step backwards.,0.0,0.6666666666666666
EYWU5LMD,If I had 1 do over I would've never vaccinated my son #autism + #epilepsy,-1.0,0.6666666666666666
2WBEBQBD,"""<user> ""Look, we need to just shut down all travel because of ebola.  No, I'm not getting my kids vaccinated. Why do you ask?""""",-1.0,0.6666666666666666
LN3SKR8J,"Amid measles outbreak, some physicians opting to drop patients with anti-vaccine views <url>",-1.0,0.3333333333333333
1S8T5KJG,<user>  not vaccinated your child is abuse &amp; incredibly ignorant. Hope they learned from this situation they created,1.0,1.0
35FNMDZ2,"Measles cases in US in 2014 - 644. In 2015, 102 cases so far. 0 deaths. Why R u encouraging false hysteria, .<user> #CDCwhistleblower",-1.0,0.6666666666666666
5AGVY5R9,<user> deep! Did u mention these vaccines given to kids at such young ages?? And any new college acceptance letters??,1.0,0.6666666666666666
8N23WC39,"""<user> from a people nearly wiped out by disease, I say, ""Fuck you, you superstitious, selfish anti-vaccination assholes.""""",1.0,0.6666666666666666
H1CLFZFM,Measles outbreak?😳,1.0,0.6666666666666666
NCE5940C,I bet our culture and society do more to induce autism than what some people claim vaccines do.,1.0,0.6666666666666666
A4LCXIS5,"Cole world, the new Nat King. if I ain't the illest nigga I'm his new vaccine. Really like more poison when this New Jack Swing",0.0,1.0
EMBI3VOD,Vaccine spray may not work for swine flu in kids: Health officials say the nasal spray version of the flu vaccine… <url>,0.0,0.6666666666666666
E8PYBBDZ,"Why you should, and shouldn't, worry about measles: Measles has become relatively rare in the United States, thanks… <url>",-1.0,0.3333333333333333
4B8WVRMQ,Good news. Folks in Delaware vaccinate! Measles is making a comeback. Here are 9 things everybody should know. <url>,1.0,1.0
XC39VTUU,Calif. Measles Outbreak Revives Debate Over Vaccines <url>,0.0,1.0
HWZFLK15,Reminder to work on health #eat right/exercise/vaccines. Protect others #handwashing #flushot #home when sick.  <url>,1.0,0.6666666666666666
WM6KPMUC,It frustrates me that some parents still don't vaccinate their children. Can I file this as child abuse?,1.0,1.0
7IUZ53EH,"<user> you owe the world a new explanation friend! Stripped by the UK findings of vaccinations = autism triggers, what do u say now?",-1.0,0.6666666666666666
2Y39NLHP,<user> <user> don't Syrian kids have a valid excuse for not being vaccinated with that whole civil war thing?,-1.0,0.3333333333333333
SZ3KZ5JQ,BU-Led Study: Flu Vaccine Is Safe During Pregnancy: BOSTON (CBS) — A new study has found “reassuring” evidence... <url>,1.0,0.6666666666666666
3RZ0WN0S,Imagine if Facebook included your vaccination history on your profile page. Violation of privacy? Or important social safety information?,-1.0,0.3333333333333333
I8U18C1X,"<user> “State-required vaccines”.  

So how is it these kids are allowed to attend at all?",1.0,1.0
D0NKL11G,Read.“<user> #vaccination and the irresponsibility of those who choose not to vaccinate their kids <url>,1.0,1.0
Z1PK4BQH,Why wouldn't u vaccinate your child? Why would u not want to protect ur child from life-threatening diseases &amp; put other kids in danger?,1.0,1.0
PC9VAIU5,Last round of vaccinations. Giddy up! #africa @ Passport Health Indiana <url>,1.0,0.6666666666666666
Y7YTEZO1,"Daycare owners say all workers and kids who come there must be vaccinated for whooping cough, scary new outbreak statistics",0.0,0.6666666666666666
AUND1NE9,I feel like I got punched in the arm a thousand times. Stupid whooping cough vaccine. I don't even like babies. #tdap #😷💉🏥🆒👌👍😥,1.0,0.6666666666666666
7K20GEF1,<user> <user> <user> <user> <user>  over 1.2million children no autism-vaccine link <url>,1.0,1.0
U1I56THS,BART measles alert: riders may have been exposed: BART officials warned riders Wednesday that they may have been… <url>,0.0,1.0
A6DYX8L3,"“<user> On average, people who complain live longer -- Releasing this tension increases immunity and boosts their health.” woohoo!!",0.0,1.0
XKIS9IZM,Another medical study shows no link between #MMR #vaccine and #autism <url> via <user>,1.0,1.0
5ZE8KS2V,AM-News : Procedures reviewed after child became at risk of HIV due to botched vaccination: VANCOUVER (NEWS1130) �… <url>,-1.0,0.6666666666666666
I1TFJ9O3,"Good thing I didn't get one then lol ""<user> CDC: Flu vaccine may not be effective for this year’s strains <url>",-1.0,0.6666666666666666
B440BX0X,How to Think About the Risk of #Autism <url>  #vaccinesaresafe,1.0,0.6666666666666666
11LBFSWX,Moorpark College Notifies Students About Potential Measles Exposure <url>,0.0,0.6666666666666666
8CMP3E2B,"Look at what we've become. A bunch of little kids. Immature,selfish,stupid little kids fighting to boost egotistical immunity.-",0.0,1.0
3S7SN11B,"Insight: GSK vaccine ingredient scrutinized for narcolepsy clues, <url> - FOX News",-1.0,0.6666666666666666
P0547OP9,<user> <user> <user> I don't  know that My sisters and I all had the measles when we were young. No autism Vaccines do!,-1.0,0.3333333333333333
X7H4K0G5,<user> When mixed with the vaccines...the fluoride killed all of the rats in the study!  EPA whistleblower was fired! Don't drink tapH20,-1.0,0.6666666666666666
NIFKA6X5,Medicinal poison? Vaccine.,-1.0,1.0
ETI2KE0V,"Neurosurgeon Exposes Vaccines, CDC, FDA and Scien…: <url>",-1.0,1.0
R8IXN3ON,"<user> i had the vaccine when I was a baby but I now have autoimmune ankylosing spondylitis, does that matter? #measles",-1.0,0.6666666666666666
KBMOEF3G,CDC And State Health Officials Confirm Suspected Case Of Measles At Princeton University: Princeton University says… <url>,0.0,1.0
CP8G98D5,A6- my hope is school is a vaccination from standardized everything for individual learners #weirdede,1.0,0.6666666666666666
E1ZADAD0,Yo if you don't get your kid vaccinated I have no pity when your child gets a disease that was eradicated 100 years ago !,1.0,0.6666666666666666
V3R6OFEK,"‘Vaxxed’: Vaccination critics take their case to film: From Cover-Up to Catastrophe is the documentary that, ... <url>",-1.0,0.6666666666666666
27J1ZUGO,"No, seriously. Don't vaccinate your kids. I mean, LOOK AT HOW CUTE THESE TINY COFFINS ARE! <url>",1.0,1.0
U1620EZP,Measles Warning Posted At Milpitas Dave &amp; Buster’s Restaurant In Great Mall <url>,0.0,1.0
88Q80C2A,no no no no. NO proven medical correlation- or even a strong speculation of a relationship between vaccinations and autism. no no nooooo,1.0,1.0
S09FHNTD,"Best priced 3 car garage home in MMR.  This beautiful home features panoramic mountain and city light views, an excel <url>",0.0,1.0
XQPT0LJ9,Attend Health&amp;Safety mtg discussion on HPV vaccination w/reps from Academy of Pediatrics &amp; MA Dept Health gr8 info! <user> <user>,1.0,0.6666666666666666
K7VL9WDT,Please protect your #pet from Lyme Disease. Read more about #tick control and #vaccination for your #dog <url>,1.0,1.0
YA0ST308,"IDIOT ""<user> Kristin Cavallari defends her anti-vaccine stance, saying, ""We feel like we're making the best decision for our kids""",-1.0,0.3333333333333333
XTKS2226,<user> <user> <user> <user> ..i mean standard to give the MMR,0.0,0.6666666666666666
H3LD67D2,".<user>  it's so damn selfish, especially when some kids with weakened immune systems CAN'T be vaccinated on the proper schedule",1.0,0.6666666666666666
9ZB3XUMM,"Come on folks, get your kids vax MT <user> ""Hi, meet Mickey - here’s some #measles""

<url> <url>",1.0,1.0
JWMG6XSS,"<user> <user> Also the CDC doesn't sell drugs, big pharma does. CDC tests diseases. The FDA tests vaccines.",0.0,1.0
JUV233VU,<user> If you care about your children? VACCINATE! Proven For Years! Works with under 1% side effects reported! Don't make them Suffer?,1.0,1.0
LC0ZQBPA,AIDS :  1 in 10 children carry immunity to AIDS - study <url>,0.0,0.6666666666666666
6D17LVF5,Increased Vaccine Requirements = Increased Exemptions.  The Myth of Herd Immunity. <url>,-1.0,0.3333333333333333
ULTQFNX3,All shot up: Tdap and flu vaccines. Woo hoo! (@ Meadowbrook center for health) <url>,1.0,1.0
X3UPXWR7,US measles count rises to 121; most linked to Disneyland: Health officials say the number of measles cases in the… <url>,0.0,1.0
NAKRBNC6,"Only 14% of people in Disneyland measles outbreak were unvaccinated, but it's 100% their fault, claims propaganda <url>",-1.0,0.6666666666666666
RYBUCGGX,Religious immunity u don't got any Cuz u ain't me u ain't live the life I lived cuz if u did we all be dead<user>,0.0,0.6666666666666666
BS6MOKJH,<user> My grandson's pediatrician acknowledged his vaccine injuries &amp; provided a waiver voluntarily that he not receive any more vaccines,-1.0,1.0
1S475P7F,<user> flu shots have never been proven to protect you from getting the flu. The vaccine company uses it as a scare tactic.,-1.0,0.6666666666666666
R1CW7Y4M,<user> knows what's up <user> #mmr #dj #dc #dmv #dupontcircle #friday #JT #20/20Experiance… <url>,0.0,1.0
SH7RRU6T,"<user> <user> <user> SMDH #Flu #Vaccines, #Pharma #Fraud, #Quack #Science, the #CDC &amp; #WHO #health <url>",-1.0,0.6666666666666666
K40K8UIP,"<user> myson developed regressive autism after his vaccines,guess theydidn't workout so great for him,wish he'dgotten Measles instead",-1.0,1.0
A3PXDMBF,#CDCwhistleblower #autism #hearthiswell #AutismSucks #vaccineinjured <url>,-1.0,1.0
5BDRFHHL,"“<user> On average, people who complain live longer -- Releasing this tension increases immunity and boosts their health.” <user>",0.0,1.0
5T7RMAPZ,HB2101 [NEW] Public finance; Whistleblower Liberty Fund Act; immunity; award of funds; effective date. <url>,0.0,1.0
RWRDUI2T,"Scary how false science spreads. Kids will die due to it ""<user> 1 in 5 millennials think vaccines cause autism <url>",-1.0,0.6666666666666666
AZUX1FLL,Why are we still talking about people not vaccinating their kids when there is a crisis going on?! No more Dr. Pepper Bonnie Bell Chapstick!,1.0,0.6666666666666666
YOZ75TT5,"If you choose to be a fucking idiot a and not vaccinate your kids, you deserve to get measles not your kids. #MeaslesOutbreak #measles",1.0,1.0
H6HE6VWS,Schedule your flu clinics ahead of time to ensure you and your employees get the vaccine. It's never to early. #health #WellnessWednesday,1.0,1.0
R6A6CXK5,"<user> or ya know, if that research was fraudulent (Andrew Wakefield).",-1.0,0.6666666666666666
MHXJO11Y,VACCINATE YOUR KIDS FTLOG.,1.0,1.0
YBSWHNHY,"#MayweatherCotto What was with Floyd's entourage? 50 Cent, OK, he's been gunshot. Justin Bieber? His only shots were childhood immunizations",0.0,1.0
8N9NWR39,Vaccines only prevent diseases. Cannot cure them. Whoa. #nakamura #biology,0.0,0.6666666666666666
MVUZ1RXC,"<user> ""uhh we believe America was a much safe place before we had cures for things like polio a and measles, sir"" #GOP",-1.0,0.3333333333333333
CRPNYIXV,#elisenoellestoltzfus enjoyed getting #adjusted this weekend! #relaxed #health #natural #immunity… <url>,0.0,1.0
PFHED335,<user> <user> agree! Vaccinate your kids! Don't expose my kid to your stupidity.,1.0,1.0
U6CG8VJL,"<user> <user> Whatever.  IMHO #vaccines R useless &amp; suspect in rise of asthma,allergies,autoimmune disease,MS,autism, diabetes",-1.0,1.0
AQ1Y47O0,The anti vaccine people are out today... Thanks for bringing diseases back that were once gone. The people you are listening to aren't Drs.,1.0,1.0
JWK5ZJPO,MT <user> R u 4 or against vaccination?  #anti-vaxxers put this mother n her baby in quarantine <url> <url>,-1.0,0.3333333333333333
I6Y46FSL,Heads up if you haven't got your measles vaccine,-1.0,0.3333333333333333
N9DIH6JX,"How to spot measles in the workplace: At first, you think you have a cold.You have watery eyes, a runny nose and… <url>",0.0,1.0
PADPS0DZ,“<user> Jenny McCarthy Gets Crucified on Twitter Over Anti-Vaccination Beliefs <url> -get your kids vaccinated.,1.0,0.6666666666666666
3SY97LR5,<user> Plz RT! #CDCwhistleblower admits MMR causes 340% inc in #autism in boys. 2x that 4 black boys <url>,-1.0,1.0
9ZHXR8WU,It's World Immunization Week!! VACCINATE YOUR CHILDREN,1.0,1.0
BGGEEAB2,So my kid can't bring a peanut butter sandwich to school for herself but yours can being the measles to share with everyone?,1.0,0.6666666666666666
MHXJO11Y,VACCINATE YOUR KIDS FTLOG.,1.0,1.0
69L4AX6A,MT <user> 51 cases &amp; counting. #Measles outbreak spreading beyond Disneyland visitors... <url> <url>,0.0,1.0
6Y1EGUWM,To all pro lifers who are pro vaxx: Did you know there was aborted fetal DNA in vaccines? Add to list of vaxx ingredients u don't know.,-1.0,1.0
NSDGVDN7,<user> maybe she woke up with measles,0.0,1.0
X5OZH165,"""Some 3rd world countries have higher vaccination rates in their children than Marin County, California"" via <user> <user>",1.0,0.6666666666666666
JIXS1DE8,#Obama tells lies with impunity &amp; immunity but not with #BrownsvilleTexas Federal #JudgeAndrewHanen who isn't buying #WH #Amnesty lies. YES!,0.0,1.0
K0MKUPWS,"Withing drawing blood and giving this kid #vaccines, had to #poke him like  @ Harlem Hospital Mural Pavilion <url>",0.0,1.0
ASBG7EMC,<user> right no kids died before vaccinations,-1.0,0.3333333333333333
4WHBVH8E,"<user> Where did I say they don't work? I said natural immunity is better, and vaccines don't keep you from getting the disease.",-1.0,1.0
606B0L6F,Got a vaccine yesterday so now I'm part of the conspiracy.,1.0,0.6666666666666666
RBYBGJP6,I think it is bullshit NY schools are requiring flu vaccinations. Whoever is in charge of that one is an asshole.,-1.0,1.0
813WF1GB,Think those vaccines are causing autism...? Maybe you should vaccinate yourself with straight Jet Fuel and see if that also causes Austim...,1.0,1.0
UXY6DZ2I,Infant in Georgia diagnosed with measles <url> #California #Atlanta <url>,0.0,1.0
5G4WTO9D,Health Canada pulls distribution of Novartis flu vaccines,0.0,0.6666666666666666
9B8XIIDM,"MT <user> One thing we are most certain of, the #measles vaccine is safe and very effective. <url> <url>",1.0,1.0
0G7FTFO4,Why am I helping someone from the CDC with meningococcal vaccines?!!,0.0,1.0
Z6EFX5OL,if you don't vaccinate your kids (unless they're allergic to a vaccine or something but you know what I mean) you are a terrible parent.,1.0,0.6666666666666666
HMXA6YO7,"Morrow County To Offer Free MMR Vaccinations: The vaccine protects against Measles, Mumps, and Rubella. <url>",1.0,0.6666666666666666
P3RVPG3A,#InstaFrame #flushot #vaccine #important #Health ❤️👨💉💊 @ Dr Saliba <url>,1.0,1.0
QQK9NQ8A,“<user> Measles are back in New York City thanks to anti-vax absurdity <url> Turning back the clock in medicine.,0.0,0.6666666666666666
B2XPONGX,People people! See the beginning of a measles outbreak in Wichita. That is why we have vaccines!!,1.0,1.0
OEZATTK6,"""<user> CDC considering recommending HPV vaccinations for boys <url> #duh",0.0,0.6666666666666666
VVAUZNW3,Awww Baby girl woke up with a fever. Long night for mommy and baby #fussybaby #immunizations,0.0,0.6666666666666666
ZRHIDJDG,I just woke up from a measles/Miley Cyrus/Hunger Games/Harry Potter dream. What the hell is going on in my brain...,0.0,1.0
XHF3FZ2R,"Back-to-school can mean vaccines for tweens, teens <url>",1.0,1.0
0DU92X27,"FYI All you people who ""don't believe in"" vaccinations are the reason for the measles outbreak",1.0,1.0
AI5VY2D9,United we stand on behalf of all the vaccine injured #BigPharma  #CDC #truth prevails #justice will be served  #CDCwhistleblower,-1.0,1.0
6TQEFH9R,"""<user> <user> #VaxTruth ""The measles vaccine has failed.""
<url> <user> #CDCwhistleblower",-1.0,1.0
03G7E6FG,I think it's extremely selfish to not get your children vaccinated.,1.0,1.0
ZBQ497ZP,CDC caught hiding data showing mercury in vaccines linked to #autism: <url> <user>,-1.0,1.0
JGOO8W6U,"<user> <user> allow me to interrupt rq, Vaccines in no way shape or form are related to autism. <url>",1.0,1.0
6HIXJ7TP,"Ebola, is it a FEAR tactic to help pass a Law soon to come down the pike. Forced immunization perhaps? #Ebola  #fearmongering",-1.0,0.3333333333333333
J94KPVN4,ZERO legit med reason not 2 #vaccinate yr kids; wrong 4 them &amp; any1 they're in contact w/ <user> <url> <user>,1.0,1.0
12JJECAS,<user> brought up a great point this morning I hadn't considered. Illegals come to this country w/o vaccinations &amp; with diseases.,0.0,0.6666666666666666
FPF69LET,<user> 4 cases of measles linked to the MGM in Vegas.... <user> <user>,0.0,1.0
RQ3WPX7D,"<user> all of my children will be completely vaccinated, I don't want them getting any weird illness I could've prevented.",1.0,1.0
2RYG8GTY,"AP Disney gave input on measles health messages: As the measles outbreak spread last month, Disneyland executives… <url>",0.0,1.0
JYIPZU75,"You bash medical procedures based on ""scientific"" claims of harm when there are thousands who would kill 4 the vaccine and can't afford it",1.0,0.6666666666666666
KVEZT1TQ,"<user> Not only do vaccinations fail to prevent disease, they are proven to cause disease! Please consider reversing your position.",-1.0,0.3333333333333333
9A1FNP85,Breaking: The entire New England Patriots team contracted measles while at Disney World,0.0,1.0
02I27CR4,"“<user> In 1980 when I served in Mozambique measles vaccination was just starting, before almost 1 child in 10 died.” #hhsbeavers",1.0,1.0
MKA01C09,OMG this flu vaccine is killing me.....nd I miss my big SIS Sooo much I'm all sad thinkin of u always Chicey B. Whitfield #luvumeanit,-1.0,0.3333333333333333
LEV7P95S,#Syrian children are asking #Santa to drop barrels stuffed with bread &amp; #Polio vaccine instead of TNT &amp; shrapnel #SaveSyrianLives <user>,1.0,0.6666666666666666
88Q5VSUM,NV can do better. Which states are the best (and worst) at vaccinating their kids <url> <url>,1.0,1.0
03L89F24,CDC Whistle blower: vaccines cause autism exposed. #vaccineswork #vaccine #autism #CDCwhistleblower <url>,-1.0,1.0
XFA620S0,MT #vaccination <user> #Measles is highly contagious ... and almost always preventable. <url> <url>,1.0,0.6666666666666666
549IGG3X,<user> <user>   #immunitychallenge safe! #whatawin! #totallyshouldwin #gonnabeacloseone,0.0,0.6666666666666666
MIFBCOXC,RT <user> The flu #vaccine protects mom and baby &amp; is safe to get in any trimester! <url>,1.0,1.0
UI9T7YVT,"What a humanitarian <user> It’s not my responsibility to be protecting their child - Dr. Jack Wolfs, vaccine refuser <url>",0.0,0.6666666666666666
5DC3F07E,Florida DOH Offers Free Back-To-School Immunizations: What do some students dislike more than actually going back… <url>,1.0,0.6666666666666666
0WZBPGSQ,"Fact: blankets keep you safe at night. We dont know what from, but they are definitely an immunity against something.",0.0,0.6666666666666666
FBI1FLF6,Stricter screening restricts access to subsidized low-cost vaccines: Participants must be preregistered.The dead... <url>,1.0,0.6666666666666666
5ZS09KKW,Measles will never have anything on good ol ebola... nice try cnn.,-1.0,0.3333333333333333
8UKKISQA,I've seen what vaccinations can do to kids so now I'm in different about them 😩,-1.0,1.0
T3D8FAET,Hot topic--worth the read! My Health-Nut Parents Didn’t Vaccinate Me. This Is What My Childhood Was Like. <url> via <user>,-1.0,0.3333333333333333
Q67GPF4H,<user> yea those bats are babies carriers. Scares me to death. My dogs if course are vaccinated but still.,1.0,0.6666666666666666
3598PITG,<user> Children crying. Vaccine. Needle.,-1.0,0.6666666666666666
00GIG815,"<user> u say u represent no Corporations, how will u regulate makers of immunization and the safety of our children? Autism cause?",-1.0,0.6666666666666666
0WXLXI5G,"BBC News - 'Milestone' for child malaria vaccine <url> 
It's not THE vaccine for malaria, but it is A vaccine for malaria.",0.0,0.6666666666666666
KWVN8OOS,"These organic food eating,diaper cloth, no drinking real milk, no vaccinating moms scare me straight up.",1.0,0.6666666666666666
25NG74YO,#CGI2014 <user> proud to make PPP commitment to reduce IMR/ MMR n serve 100k mothers n 100k kids in 5 years with Tatas/ Hans fndatn,1.0,0.6666666666666666
N544C1DL,<user> and that time him and that crazy lady tried to stop kids from getting vaccinated. #goodtimes,1.0,1.0
PJAP6Y3N,Current status: in a line about 30 deep for dog vaccine. Can't board your dog without a vaccine but Crom forbid you get one for your kid.,1.0,1.0
7VHCSR0D,UC System to Require Measles Shots <url>,0.0,1.0
9ANI1IJD,"<user> <user> she just adopted a baby full bred German shepherd because owners didn't vaccinate, he got parvo so they said...",0.0,1.0
RJLGSNS8,"So only 20% of Americans believe in the Big Bang, 30% recognize evolution, and 51% know its safe to vaccinate. I'm gonna go cry now.",1.0,1.0
6S852YPJ,".<user> Students, before heading off to #college, get immunized. Most schools require #vaccinations, and it could save lives, maybe yours!",1.0,1.0
VN87RICX,DO NOT VACCINATE YOUR CHILD.... Unless your their doctor :),-1.0,0.6666666666666666
FS688X62,"RT <user> Wet Ink: Musings on #HPV, Immune Health, Vaccines for Safe(r) Sex & #STIs. <url> &lt; Great Read! Check it out.",1.0,1.0
OVNHHAN0,“<user> Salt Lake County Health Department Confirms Two Deaths From the Flu <url> get vaccinated!,1.0,0.6666666666666666
